ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP4,2040,1683058.346244,1540539.066288,2.219184,12441494.154101,142519.279955,4730273.398639,76202835.006106,42455607.78615,2.9e-05,0.000103,0.214306,8.563891,30.894858
SSP4,2045,1981556.995627,1788289.941975,2.63198,14070689.531147,193267.053652,4049471.37628,100310441.945204,49393651.869517,3e-05,0.000105,0.294241,11.758157,41.895793
SSP4,2050,2355606.394835,2101226.37297,3.142138,17483817.30957,254380.021865,4558516.709563,123781274.005122,55513149.587783,3.1e-05,0.000109,0.389265,15.555419,55.14366
SSP4,2055,2614970.575275,2314115.472528,3.485294,19218215.018078,300855.102748,4010325.979873,143995577.359291,59731332.485102,3.1e-05,0.000107,0.459672,18.368956,65.218374
SSP4,2060,2890044.188864,2540123.482866,3.845061,21938588.837305,349920.705997,4199408.650972,162075972.778692,63192219.121899,3e-05,0.000107,0.533163,21.305728,75.854654
SSP4,2065,3231959.750829,2822849.170468,4.288429,25408828.251976,409110.580361,4670174.47851,178483282.552258,66207903.222151,3e-05,0.000109,0.621859,24.85009,88.685639
SSP4,2070,3556463.719411,3092031.299566,4.71442,27945645.672551,464432.419845,4465615.466447,192622337.849048,68467274.315384,3e-05,0.00011,0.705206,28.180719,100.678124
SSP4,2075,3841798.925013,3328530.37178,5.093713,30121213.679745,513268.553234,4177650.367888,204563104.637656,70123394.460398,3e-05,0.00011,0.779444,31.147365,111.26466
SSP4,2080,4140377.805164,3576346.941477,5.489026,32862217.399564,564030.863687,4300284.174447,214770386.756823,71459099.024319,3e-05,0.00011,0.856343,34.220338,122.268746
SSP4,2085,4513914.113277,3884655.299162,5.960451,37231633.001054,629258.814115,5169383.127211,223831443.366639,72717170.974915,3e-05,0.000111,0.951487,38.022357,136.408645
SSP4,2090,4873232.33514,4182391.518976,6.420681,40139176.977795,690840.816164,4919755.265361,231485448.10403,73655302.569608,3e-05,0.000113,1.042488,41.658845,149.758188
SSP4,2095,5137993.401619,4401951.887552,6.76827,41480250.501657,736041.514067,4013090.615078,237682928.168216,74254890.295862,2.9e-05,0.000112,1.110524,44.377637,159.556646
SSP4,2100,5408920.005235,4626964.250753,7.12397,43899421.193594,781955.754481,4052868.370635,242822016.314199,74729339.553608,2.9e-05,0.000112,1.179622,47.138878,169.509783
SSP5,2025,946974.061048,946974.061048,1.252279,1306250.0,0.0,1900000.0,5938147.846062,8637305.957908,3e-05,8.4e-05,0.0,0.0,0.0
SSP5,2030,1119355.713421,1084303.188083,1.493183,5355698.343905,35052.525339,3323707.999519,25014455.380368,20475925.663817,3e-05,8.8e-05,0.055089,2.201396,7.598571
