ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP4,2075,312411042.490826,288620884.322047,747.469448,592577189.037636,23790158.168778,87819344.756389,4380030025.827944,1557473761.670212,0.000126,0.000621,3.824861,183.184057,762.663869
SSP4,2080,337995992.854612,311554998.491225,808.015351,684397600.214088,26440994.363388,119777881.243153,4592609697.556341,1594677782.64724,0.000125,0.000603,4.239671,203.05058,847.644262
SSP4,2085,353088903.703282,325002624.771832,843.513051,668158255.092055,28086278.93145,73588155.383051,4755219265.971827,1612586920.33451,0.000125,0.000565,4.499512,215.495118,900.388724
SSP4,2090,372707700.349366,342571605.409862,889.894256,733000888.77374,30136094.939504,92777182.14917,4894992741.603604,1630278289.344998,0.000125,0.000535,4.822352,230.956885,966.101637
SSP4,2095,383420106.92147,352062258.790796,914.933819,721371714.758966,31357848.130674,57746404.353553,5002771425.845345,1638906062.452233,0.000125,0.000494,5.012814,240.078711,1005.268549
SSP4,2100,396339654.123914,363577631.90255,945.276523,760626691.757479,32762022.221364,65562513.928797,5091814231.168243,1646581141.735544,0.000125,0.000458,5.232927,250.620588,1050.283501
SSP5,2025,97387251.574658,97387251.513064,229.605806,1306253.910534,0.061594,1900003.432902,5938165.623156,8637321.563711,0.000127,0.000606,0.0,0.0,2e-06
SSP5,2030,117473504.546358,115057857.164747,278.261237,178514885.962931,2415647.381611,113570784.73829,641785191.61486,413161825.645579,0.000124,0.000636,0.385844,18.47923,77.44072
SSP5,2035,138201945.114462,133371851.119001,327.552979,233744707.450779,4830093.995461,114628402.794431,1294124424.130688,733068980.416905,0.000123,0.000627,0.769674,36.861987,154.842946
SSP5,2040,164763314.246506,157012557.536094,390.348996,317081112.240868,7750756.710412,133100378.776453,1987479325.145049,1024116905.975515,0.000122,0.000601,1.230608,58.937512,248.473426
SSP5,2045,198202430.063581,186896273.058627,468.412133,419003552.831711,11306157.004954,157679916.351819,2705366883.91692,1294273207.639679,0.000122,0.00057,1.780254,85.26171,362.452296
SSP5,2050,227503973.592851,213110886.769193,537.293943,464098489.721206,14393086.823659,138846812.065952,3328387447.369364,1480665581.247424,0.000122,0.00052,2.267875,108.615349,461.412959
SSP5,2055,264965888.612574,246727660.070486,624.565837,583756560.814494,18238228.542088,172950853.330412,3942400361.377784,1662580551.565669,0.000122,0.000485,2.864736,137.200785,584.680347
SSP5,2060,298583665.624655,276870716.231676,702.826474,648651252.220762,21712949.392979,162116028.234857,4476977640.546179,1796186314.272008,0.000121,0.000438,3.402615,162.961428,696.072799
SSP5,2065,329353834.580162,304441191.134915,772.837912,693719317.396428,24912643.445247,141889081.094264,4924934847.527794,1887808725.345581,0.000121,0.000391,3.889941,186.300948,798.648454
SSP5,2070,366439447.082035,337748740.688354,857.880191,806417295.672632,28690706.393681,170673577.78623,5332940404.794334,1974160752.50202,0.000121,0.000356,4.464294,213.80845,919.765433
SSP5,2075,392787190.70193,361301155.014193,917.124471,824064253.970137,31486035.687736,130590010.459846,5659619109.713272,2025929744.163584,0.000121,0.000316,4.879213,233.680131,1009.37798
SSP5,2080,424857608.475005,390104043.804452,990.192915,913859001.29511,34753564.670553,148304953.900707,5943471429.535238,2071994514.70931,0.00012,0.000286,5.373982,257.376106,1114.128284
SSP5,2085,456839564.903598,418834887.803187,1058.582374,942206278.629699,38004677.100411,121324043.351916,6172776021.910929,2101521127.869479,0.000122,0.000259,5.8424,279.810069,1218.352306
SSP5,2090,488598059.502931,447347773.579939,1129.178659,1033387793.150363,41250285.922992,142655850.247044,6369829266.642619,2128723692.441526,0.000122,0.000236,6.318832,302.627835,1322.399895
SSP5,2095,514959160.843134,471047710.140455,1189.256968,1053681592.978254,43911450.702679,112561773.324903,6527257695.533656,2145541318.606601,0.000122,0.000214,6.728154,322.231472,1407.711401
SSP5,2100,529679565.176715,484173902.446864,1223.143372,1049369716.943414,45505662.729851,76190644.708531,6650102218.911664,2154460580.601644,0.000122,0.000189,6.972737,333.945313,1458.818581
